NumIters,Seconds,LearningRate,recons_error
0.0,1.201842,0.0001,5289.63
1000.0,286.562986,0.0001,73.1048
2000.0,579.698586,0.0001,62.8057
3000.0,866.291458,0.0001,43.3169
4000.0,1151.906396,0.0001,26.4651
5000.0,1418.327121,0.0001,27.0383
6000.0,1675.245844,0.0001,9.66606
7000.0,1932.199743,0.0001,11.966
8000.0,2196.342534,0.0001,14.0724
9000.0,2475.020287,0.0001,12.6147
10000.0,2730.456735,0.0001,9.57411
11000.0,2995.816686,0.0001,8.18227
12000.0,3251.697682,0.0001,13.0649
13000.0,3515.159338,0.0001,8.67153
14000.0,3779.698909,0.0001,12.3794
15000.0,4035.56885,0.0001,10.9536
16000.0,4291.447649,0.0001,9.80167
17000.0,4547.462578,0.0001,7.34878
18000.0,4811.908157,0.0001,12.3714
19000.0,5067.324535,0.0001,8.20818
20000.0,5330.223065,0.0001,7.76878
21000.0,5596.631184,0.0001,8.68412
22000.0,5852.276939,0.0001,8.18114
23000.0,6116.894864,0.0001,8.41524
24000.0,6373.043372,0.0001,7.36165
25000.0,6628.86059,0.0001,7.6816
26000.0,6884.899685,0.0001,4.95701
27000.0,7149.399245,0.0001,5.89732
28000.0,7404.925349,0.0001,3.92795
29000.0,7660.55032,0.0001,3.15737
30000.0,7916.154407,0.0001,4.55054
31000.0,8171.499403,0.0001,5.79589
32000.0,8435.713958,0.0001,5.30657
33000.0,8691.281594,0.0001,4.02355
34000.0,8965.542678,0.0001,4.52829
35000.0,9221.61575,0.0001,3.61566
36000.0,9497.321675,0.0001,5.97986
37000.0,9752.997389,0.0001,4.34163
38000.0,10008.564559,0.0001,4.62231
39000.0,10264.207051,0.0001,2.48437
40000.0,10519.824821,0.0001,3.25689
41000.0,10784.557744,0.0001,4.62306
42000.0,11040.206102,0.0001,4.90132
43000.0,11295.949383,0.0001,3.43806
44000.0,11559.285017,0.0001,3.96777
45000.0,11823.743787,0.0001,3.51234
46000.0,12091.194451,0.0001,4.70233
47000.0,12346.903288,0.0001,2.1087
48000.0,12602.507558,0.0001,3.32002
49000.0,12858.41461,0.0001,4.67402
50000.0,13122.878756,0.0001,2.39683
51000.0,13378.816628,0.0001,3.62252
52000.0,13634.499809,0.0001,3.50362
53000.0,13890.217983,0.0001,3.15434
54000.0,14154.360204,0.0001,2.38608
55000.0,14410.039713,0.0001,2.26383
56000.0,14672.586357,0.0001,1.82911
57000.0,14938.118914,0.0001,3.46502
58000.0,15193.779343,0.0001,4.37711
59000.0,15458.327114,0.0001,2.41964
60000.0,15714.147369,0.0001,1.94373
61000.0,15969.851222,0.0001,3.96115
62000.0,16225.538036,0.0001,3.22725
63000.0,16490.692999,0.0001,3.40875
64000.0,16746.312235,0.0001,1.37181
65000.0,17002.034791,0.0001,1.89712
66000.0,17267.820178,0.0001,2.04788
67000.0,17541.189376,0.0001,2.03239
68000.0,17817.420941,0.0001,1.91963
69000.0,18073.112403,0.0001,2.55831
70000.0,18328.994845,0.0001,2.028
71000.0,18585.323428,0.0001,2.09814
72000.0,18850.174175,0.0001,1.91724
73000.0,19105.730073,0.0001,1.82203
74000.0,19361.444378,0.0001,1.43565
75000.0,19617.051037,0.0001,1.47786
76000.0,19872.671213,0.0001,2.3843
77000.0,20137.080737,0.0001,1.56984
78000.0,20403.470521,0.0001,1.72634
79000.0,20679.52601,0.0001,3.42565
80000.0,20944.754481,0.0001,2.4047
81000.0,21209.367182,0.0001,1.47625
82000.0,21465.731938,0.0001,2.68793
83000.0,21722.212757,0.0001,2.80427
84000.0,21977.985051,0.0001,1.62136
85000.0,22233.67105,0.0001,1.22167
86000.0,22498.299576,0.0001,2.85209
87000.0,22753.993548,0.0001,1.88178
88000.0,23009.585391,0.0001,2.49609
89000.0,23265.787374,0.0001,1.41635
90000.0,23538.96531,0.0001,2.21178
91000.0,23794.332282,0.0001,1.16089
92000.0,24072.509982,0.0001,1.90733
93000.0,24328.489822,0.0001,1.58213
94000.0,24584.534963,0.0001,1.04581
95000.0,24849.444005,0.0001,1.76709
96000.0,25105.535809,0.0001,1.59911
97000.0,25361.231279,0.0001,2.48037
98000.0,25616.916357,0.0001,2.33997
99000.0,25881.395575,0.0001,1.76746
100000.0,26136.939484,0.0001,1.54487
101000.0,26402.401893,0.0001,1.83865
102000.0,26668.578413,0.0001,3.17079
103000.0,26932.080484,0.0001,1.94924
104000.0,27196.995734,0.0001,2.22689
105000.0,27452.657844,0.0001,1.50712
106000.0,27708.318959,0.0001,1.33875
107000.0,27964.415212,0.0001,1.73496
108000.0,28228.967723,0.0001,1.07662
109000.0,28484.745155,0.0001,1.18558
110000.0,28740.792963,0.0001,1.69978
111000.0,28996.32165,0.0001,1.17922
112000.0,29260.259199,0.0001,1.92374
113000.0,29549.157364,0.0001,1.83652
114000.0,29812.102481,0.0001,2.61788
115000.0,30067.862612,0.0001,2.12664
116000.0,30324.281185,0.0001,1.49251
117000.0,30588.835791,0.0001,1.70528
118000.0,30844.500678,0.0001,0.845063
119000.0,31100.585469,0.0001,1.57234
120000.0,31356.272414,0.0001,1.37839
121000.0,31611.828248,0.0001,0.895366
122000.0,31876.100603,0.0001,1.45071
123000.0,32131.739896,0.0001,1.95126
124000.0,32396.21967,0.0001,1.27907
125000.0,32661.818195,0.0001,1.18371
126000.0,32933.96034,0.0001,1.55785
127000.0,33189.644909,0.0001,1.72447
128000.0,33445.404189,0.0001,1.408
129000.0,33701.476828,0.0001,1.16461
130000.0,33957.48534,0.0001,1.238
131000.0,34222.483178,0.0001,1.10539
132000.0,34478.125488,0.0001,1.17917
133000.0,34733.693475,0.0001,1.11413
134000.0,35001.695507,0.0001,1.7151
135000.0,35277.414137,0.0001,1.609
136000.0,35542.247314,0.0001,0.929401
137000.0,35798.337322,0.0001,1.10744
138000.0,36055.085514,0.0001,2.06449
139000.0,36311.669611,0.0001,1.93502
140000.0,36576.19034,0.0001,1.52319
141000.0,36831.88282,0.0001,0.787725
142000.0,37087.508597,0.0001,1.00938
143000.0,37343.049004,0.0001,1.47381
144000.0,37607.808573,0.0001,1.04289
145000.0,37871.478459,0.0001,1.804
146000.0,38147.778169,0.0001,1.2005
147000.0,38403.351083,0.0001,2.05696
148000.0,38659.096171,0.0001,1.28755
149000.0,38923.940724,0.0001,1.04598
150000.0,39179.988333,0.0001,0.911051
151000.0,39436.342394,0.0001,0.91901
152000.0,39692.10281,0.0001,1.38254
153000.0,39956.693455,0.0001,0.918177
154000.0,40212.453313,0.0001,1.28805
155000.0,40468.156916,0.0001,0.831048
156000.0,40734.9253,0.0001,1.94307
157000.0,41009.683628,0.0001,1.68765
158000.0,41274.090929,0.0001,1.35044
159000.0,41529.853263,0.0001,0.885793
160000.0,41786.16232,0.0001,0.699026
161000.0,42042.265655,0.0001,1.11852
162000.0,42306.86415,0.0001,1.2619
163000.0,42562.598454,0.0001,1.91708
164000.0,42818.328868,0.0001,1.16955
165000.0,43074.050783,0.0001,0.843599
166000.0,43330.045477,0.0001,1.5833
167000.0,43605.905908,0.0001,1.24554
168000.0,43861.548745,0.0001,0.769777
169000.0,44140.891842,0.0001,0.994823
170000.0,44406.35608,0.0001,0.806509
171000.0,44671.357545,0.0001,1.0618
172000.0,44927.7306,0.0001,0.948251
173000.0,45183.788016,0.0001,1.74544
174000.0,45439.889624,0.0001,1.30715
175000.0,45695.667436,0.0001,1.34205
176000.0,45960.28424,0.0001,1.44985
177000.0,46216.208828,0.0001,0.995673
178000.0,46471.660371,0.0001,1.0848
179000.0,46754.147465,0.0001,0.93409
180000.0,47018.378209,0.0001,1.22465
181000.0,47294.293414,0.0001,1.19561
182000.0,47550.653756,0.0001,1.51723
183000.0,47806.417639,0.0001,1.02764
184000.0,48062.84584,0.0001,0.708448
185000.0,48327.363094,0.0001,0.735388
186000.0,48583.393643,0.0001,1.06041
187000.0,48839.42948,0.0001,1.13031
188000.0,49095.277497,0.0001,0.71791
189000.0,49359.577002,0.0001,0.607686
190000.0,49637.820451,0.0001,1.14517
191000.0,49920.788735,0.0001,0.875776
192000.0,50177.309404,0.0001,1.19369
193000.0,50433.603619,0.0001,1.23562
194000.0,50698.965997,0.0001,0.570713
195000.0,50954.628142,0.0001,0.777367
196000.0,51210.339064,0.0001,1.03458
197000.0,51466.083135,0.0001,1.00557
198000.0,51730.865622,0.0001,0.681239
199000.0,51986.719818,0.0001,0.730254
200000.0,52242.350507,0.0001,1.20716
201000.0,52498.033563,0.0001,1.16904
202000.0,52753.795316,0.0001,1.43581
203000.0,53028.096658,0.0001,1.08209
204000.0,53300.480415,0.0001,1.01836
205000.0,53556.529741,0.0001,0.745452
206000.0,53812.268875,0.0001,0.96262
207000.0,54077.268222,0.0001,1.02167
208000.0,54333.340889,0.0001,0.617849
209000.0,54589.019175,0.0001,0.981084
210000.0,54844.887086,0.0001,0.692461
211000.0,55100.617597,0.0001,0.847847
212000.0,55375.978204,0.0001,0.619018
213000.0,55631.954218,0.0001,0.948865
214000.0,55894.684984,0.0001,0.789349
215000.0,56157.140186,0.0001,1.49036
216000.0,56433.837165,0.0001,1.06834
217000.0,56689.869557,0.0001,0.767888
218000.0,56945.678053,0.0001,0.730398
219000.0,57201.874551,0.0001,0.943737
220000.0,57457.974574,0.0001,0.818537
221000.0,57722.535997,0.0001,1.00345
222000.0,57978.201956,0.0001,0.56536
223000.0,58241.087648,0.0001,0.772994
224000.0,58496.88627,0.0001,0.780298
225000.0,58772.18357,0.0001,1.20745
226000.0,59028.010367,0.0001,0.74763
227000.0,59284.443727,0.0001,0.68912
228000.0,59540.267221,0.0001,0.580985
229000.0,59805.538305,0.0001,0.652605
230000.0,60078.854342,0.0001,1.10606
231000.0,60334.994403,0.0001,0.800826
232000.0,60590.813288,0.0001,1.0676
233000.0,60846.516003,0.0001,1.21922
234000.0,61117.362683,0.0001,0.615621
235000.0,61392.664641,0.0001,0.967406
236000.0,61655.445758,0.0001,0.824866
237000.0,61918.069587,0.0001,0.801074
238000.0,62184.219002,0.0001,0.807699
239000.0,62449.14643,0.0001,1.11413
240000.0,62705.507383,0.0001,0.584785
241000.0,62961.545411,0.0001,1.30912
242000.0,63217.924983,0.0001,0.718222
243000.0,63482.549075,0.0001,0.624765
244000.0,63738.22972,0.0001,0.982248
245000.0,64001.380661,0.0001,0.592084
246000.0,64278.032261,0.0001,0.91213
247000.0,64544.272673,0.0001,0.582813
248000.0,64815.725872,0.0001,0.54935
249000.0,65071.913145,0.0001,0.890204
250000.0,65328.105412,0.0001,0.590335
251000.0,65583.861576,0.0001,0.778229
252000.0,65848.491223,0.0001,1.28165
253000.0,66104.504079,0.0001,0.745858
254000.0,66360.596763,0.0001,1.36595
255000.0,66616.225399,0.0001,1.02993
256000.0,66882.730642,0.0001,1.00921
257000.0,67176.121823,0.0001,0.759742
258000.0,67447.293204,0.0001,0.693054
259000.0,67720.511543,0.0001,0.747946
260000.0,67976.990241,0.0001,0.980279
261000.0,68242.605229,0.0001,1.06437
262000.0,68499.194435,0.0001,1.27936
263000.0,68755.718541,0.0001,0.455686
264000.0,69011.515339,0.0001,1.03686
265000.0,69267.32208,0.0001,1.13175
266000.0,69532.05784,0.0001,0.752922
267000.0,69787.787972,0.0001,0.639048
268000.0,70071.080544,0.0001,0.513364
269000.0,70327.268984,0.0001,0.48725
270000.0,70603.41173,0.0001,0.556774
271000.0,70882.882048,0.0001,0.794233
272000.0,71138.653504,0.0001,0.52845
273000.0,71394.799446,0.0001,1.03788
274000.0,71650.943287,0.0001,0.646078
275000.0,71916.28496,0.0001,0.929842
276000.0,72172.363862,0.0001,1.06698
277000.0,72428.061437,0.0001,0.578772
278000.0,72690.658821,0.0001,1.48516
279000.0,72965.152486,0.0001,1.03697
280000.0,73237.614884,0.0001,0.585254
281000.0,73499.668735,0.0001,0.619511
282000.0,73755.788263,0.0001,0.645873
283000.0,74011.625525,0.0001,0.684152
284000.0,74275.63156,0.0001,0.570188
285000.0,74531.216242,0.0001,1.06336
286000.0,74786.498408,0.0001,0.42349
287000.0,75041.690119,0.0001,0.589919
288000.0,75305.786414,0.0001,1.00764
289000.0,75561.585729,0.0001,0.480888
290000.0,75816.942948,0.0001,0.7765
291000.0,76072.771494,0.0001,0.536764
292000.0,76352.512755,0.0001,1.30972
293000.0,76636.715099,0.0001,0.645902
294000.0,76908.164881,0.0001,0.728923
295000.0,77179.938768,0.0001,0.449147
296000.0,77449.327638,0.0001,1.30824
297000.0,77713.739933,0.0001,0.626045
298000.0,77985.243984,0.0001,0.685952
299000.0,78263.838894,0.0001,1.04556
300000.0,78519.395239,0.0001,0.426466
301000.0,78799.552787,0.0001,0.575722
302000.0,79089.340438,0.0001,0.484311
303000.0,79354.72249,0.0001,0.597642
304000.0,79636.29637,0.0001,0.84831
305000.0,79935.904791,0.0001,0.452718
306000.0,80227.366848,0.0001,0.631955
307000.0,80483.591673,0.0001,0.758952
308000.0,80748.749801,0.0001,0.759916
309000.0,81035.809391,0.0001,0.553223
310000.0,81323.676813,0.0001,0.978121
311000.0,81611.558771,0.0001,0.57024
312000.0,81892.04201,0.0001,0.566485
313000.0,82164.854834,0.0001,0.469908
314000.0,82456.506538,0.0001,0.45862
315000.0,82731.088623,0.0001,0.368869
316000.0,83014.590611,0.0001,0.526709
317000.0,83277.969505,0.0001,0.597384
318000.0,83569.321145,0.0001,0.951407
319000.0,83865.283177,0.0001,0.734027
320000.0,84159.436383,0.0001,0.745349
321000.0,84428.087047,0.0001,0.384566
322000.0,84725.424916,0.0001,0.413798
323000.0,84999.745211,0.0001,0.676074
324000.0,85279.35333,0.0001,0.762524
325000.0,85561.112475,0.0001,0.799062
326000.0,85837.527287,0.0001,0.751358
327000.0,86119.115764,0.0001,0.683666
328000.0,86393.687008,0.0001,0.601628
329000.0,86673.03603,0.0001,0.550774
330000.0,86960.610202,0.0001,0.550797
331000.0,87246.450492,0.0001,0.826005
332000.0,87544.924435,0.0001,0.664197
333000.0,87833.980946,0.0001,0.400228
334000.0,88097.314162,0.0001,0.573774
335000.0,88382.628292,0.0001,0.741878
336000.0,88646.819051,0.0001,0.739548
337000.0,88935.292452,0.0001,0.690027
338000.0,89224.572225,0.0001,0.922867
339000.0,89495.327398,0.0001,0.491569
340000.0,89786.251219,0.0001,0.495789
341000.0,90068.276124,0.0001,0.867759
342000.0,90358.612616,0.0001,0.561321
343000.0,90636.551993,0.0001,0.565762
344000.0,90908.46296,0.0001,0.426985
345000.0,91177.845852,0.0001,0.721792
346000.0,91463.586797,0.0001,0.655695
347000.0,91746.33233,0.0001,0.575747
